,year,navarea_i,navarea_ii,navarea_iii,navarea_iv,navarea_ix,navarea_v,navarea_vi,navarea_vii,navarea_viii,navarea_x,navarea_xi,navarea_xii,navarea_xiii,navarea_xiv,navarea_xv,navarea_xvi,poverty_percentage,attacks,math_benchmark_percent,reading_benchmark_percent,sea_law_adoption,R&D_proportion_of_GDP,full_time_researchers_per_million,high_risk
0,2015,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.7,30,78.9,0.0,95.0,2.05701,1150.81931,1
1,2015,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.7,30,78.9,0.0,100.0,2.05701,1150.81931,1
2,2015,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22.5,71,0.0,0.0,0.0,0.6931,216.00083,1
3,2015,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22.5,71,0.0,0.0,0.0,0.6931,216.00083,1
4,2015,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.8,621,31.35022,44.62185,0.0,0.0847,89.4684,1
5,2015,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.8,621,31.35022,44.62185,0.0,0.0847,89.4684,1
7,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13.3,621,23.33033,46.5781,0.0,0.08332,89.4684,1
8,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5,40,26.46852,35.23174,0.0,0.15578,10.0,1
9,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5,40,26.46852,35.23174,0.0,0.15578,10.0,1
11,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.2,105,0.0,0.0,90.0,25.0,10.0,1
12,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.2,105,0.0,0.0,100.0,25.0,10.0,1
13,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.6,98,40.67198,56.03299,60.0,1.03608,1462.46876,1
14,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.6,98,40.67198,56.03299,67.0,1.03608,1462.46876,1
15,2010,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25.0,20,0.0,0.0,0.0,25.0,10.0,1
16,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,32.8,71,0.0,0.0,0.0,0.78849,156.21967,1
18,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,32.8,71,0.0,0.0,0.0,0.78849,156.21967,1
20,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.0,74,0.0,0.0,0.0,0.19273,114.40569,1
23,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13.3,621,23.33033,46.5781,0.0,0.08332,89.4684,1
24,2010,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.4,17,0.0,0.0,0.0,25.0,69.13831,1
27,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.0,74,0.0,0.0,0.0,0.19273,114.40569,1
28,2010,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.4,1,0.0,0.0,0.0,25.0,135.45516,0
32,2010,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.7,19,0.0,0.0,57.0,0.40297,140.58063,1
33,2010,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.7,19,0.0,0.0,100.0,0.40297,140.58063,1
35,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,32.8,71,0.0,0.0,0.0,0.78849,156.21967,1
36,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.7,94,14.15759,0.0,70.0,0.10901,81.21262,1
37,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.7,94,14.15759,0.0,100.0,0.10901,81.21262,1
41,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13.3,621,23.33033,46.5781,0.0,0.08332,89.4684,1
42,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13.3,621,23.33033,46.5781,0.0,0.08332,89.4684,1
53,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,43.9,10,0.0,0.0,0.0,0.78577,221.38592,0
58,2011,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,98,40.67198,56.03299,60.0,1.03342,1648.88372,1
59,2011,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,98,40.67198,56.03299,67.0,1.03342,1648.88372,1
74,2011,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.2,105,0.0,0.0,90.0,25.0,10.0,1
75,2011,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.2,105,0.0,0.0,100.0,25.0,10.0,1
78,2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.6,33,0.0,0.0,0.0,25.0,32.5349,1
79,2011,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,98,40.67198,56.03299,60.0,1.03342,1648.88372,1
80,2011,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,98,40.67198,56.03299,67.0,1.03342,1648.88372,1
81,2011,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25.0,40,0.0,0.0,0.0,25.0,10.0,1
82,2011,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.3,40,29.55274,52.88558,50.0,0.20595,10.0,1
83,2011,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.3,40,29.55274,52.88558,0.0,0.20595,10.0,1
84,2011,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.2,105,0.0,0.0,90.0,25.0,10.0,1
85,2011,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.2,105,0.0,0.0,100.0,25.0,10.0,1
86,2011,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.4,73,0.0,0.0,0.0,25.0,10.0,1
87,2011,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.9,621,23.33033,46.5781,0.0,0.08332,89.4684,1
88,2011,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.9,621,23.33033,46.5781,0.0,0.08332,89.4684,1
89,2011,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.7,19,0.0,0.0,57.0,0.33991,179.50769,1
90,2011,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.7,19,0.0,0.0,100.0,0.33991,179.50769,1
92,2010,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25.0,40,0.0,0.0,0.0,25.0,10.0,1
94,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13.3,621,23.33033,46.5781,0.0,0.08332,89.4684,1
95,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13.3,621,23.33033,46.5781,0.0,0.08332,89.4684,1
99,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.0,74,0.0,0.0,0.0,0.19273,114.40569,1
100,2010,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25.0,12,0.0,0.0,65.0,25.0,10.0,0
101,2010,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25.0,12,0.0,0.0,67.0,25.0,10.0,0
102,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.6,98,40.67198,56.03299,60.0,1.03608,1462.46876,1
103,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.6,98,40.67198,56.03299,67.0,1.03608,1462.46876,1
104,2010,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.4,21,0.0,0.0,0.0,25.0,10.0,1
105,2010,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.4,73,0.0,0.0,0.0,25.0,10.0,1
107,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.2,105,0.0,0.0,90.0,25.0,10.0,1
108,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.2,105,0.0,0.0,100.0,25.0,10.0,1
112,2011,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,98,40.67198,56.03299,60.0,1.03342,1648.88372,1
113,2011,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,98,40.67198,56.03299,67.0,1.03342,1648.88372,1
119,2011,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.0,74,0.0,0.0,0.0,0.19044,114.40569,1
121,2011,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.0,74,0.0,0.0,0.0,0.19044,114.40569,1
122,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.2,40,26.46852,35.23174,0.0,0.08282,10.0,1
123,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.2,40,26.46852,35.23174,0.0,0.08282,10.0,1
124,2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.4,130,0.0,0.0,0.0,0.13223,38.78981,1
127,2011,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.4,73,0.0,0.0,0.0,25.0,10.0,1
128,2011,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.9,621,23.33033,46.5781,0.0,0.08332,89.4684,1
129,2011,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,98,40.67198,56.03299,60.0,1.03342,1648.88372,1
130,2011,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,98,40.67198,56.03299,67.0,1.03342,1648.88372,1
133,2011,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22.5,71,0.0,0.0,0.0,0.75502,156.21967,1
134,2011,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.2,105,0.0,0.0,90.0,25.0,10.0,1
135,2011,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.2,105,0.0,0.0,100.0,25.0,10.0,1
136,2011,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.9,621,23.33033,46.5781,0.0,0.08332,89.4684,1
142,2010,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.4,73,0.0,0.0,0.0,25.0,10.0,1
143,2010,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20.2,15,0.0,0.0,0.0,25.0,10.0,1
144,2010,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.4,73,0.0,0.0,0.0,25.0,10.0,1
150,2010,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25.0,40,0.0,0.0,0.0,25.0,10.0,1
152,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13.3,621,23.33033,46.5781,0.0,0.08332,89.4684,1
155,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13.3,621,23.33033,46.5781,0.0,0.08332,89.4684,1
156,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25.0,17,88.17274,87.51895,0.0,1.93137,6241.86151,1
157,2010,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.8,15,0.0,0.0,0.0,25.0,10.0,1
158,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25.0,17,88.17274,87.51895,0.0,1.93137,6241.86151,1
159,2010,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.7,19,0.0,0.0,57.0,0.40297,140.58063,1
160,2010,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.7,19,0.0,0.0,100.0,0.40297,140.58063,1
163,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.2,105,0.0,0.0,90.0,25.0,10.0,1
164,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.2,105,0.0,0.0,100.0,25.0,10.0,1
166,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.7,94,14.15759,0.0,70.0,0.10901,81.21262,1
167,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.7,94,14.15759,0.0,100.0,0.10901,81.21262,1
170,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13.3,621,23.33033,46.5781,0.0,0.08332,89.4684,1
171,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13.3,621,23.33033,46.5781,0.0,0.08332,89.4684,1
180,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13.3,621,23.33033,46.5781,0.0,0.08332,89.4684,1
181,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,43.9,10,0.0,0.0,0.0,0.78577,221.38592,0
184,2011,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.9,621,23.33033,46.5781,0.0,0.08332,89.4684,1
185,2011,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.9,621,23.33033,46.5781,0.0,0.08332,89.4684,1
186,2011,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.9,621,23.33033,46.5781,0.0,0.08332,89.4684,1
189,2011,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.9,621,23.33033,46.5781,0.0,0.08332,89.4684,1
192,2011,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.9,621,23.33033,46.5781,0.0,0.08332,89.4684,1
196,2010,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25.0,40,0.0,0.0,0.0,25.0,10.0,1
200,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.6,98,40.67198,56.03299,60.0,1.03608,1462.46876,1
201,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.6,98,40.67198,56.03299,67.0,1.03608,1462.46876,1
202,2010,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.4,4,0.0,0.0,0.0,25.0,10.0,0
208,2010,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.4,73,0.0,0.0,0.0,25.0,10.0,1
209,2010,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.4,73,0.0,0.0,0.0,25.0,10.0,1
212,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.6,98,40.67198,56.03299,60.0,1.03608,1462.46876,1
213,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.6,98,40.67198,56.03299,67.0,1.03608,1462.46876,1
215,2010,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25.0,40,0.0,0.0,0.0,25.0,10.0,1
216,2010,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.4,73,0.0,0.0,0.0,25.0,10.0,1
218,2010,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.5,2,0.0,0.0,13.0,0.03684,432.01568,0
219,2010,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.5,2,0.0,0.0,33.0,0.03684,432.01568,0
220,2010,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.5,2,0.0,0.0,13.0,0.03684,432.01568,0
221,2010,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.5,2,0.0,0.0,33.0,0.03684,432.01568,0
232,2010,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.4,17,0.0,0.0,0.0,25.0,69.13831,1
247,2011,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.4,73,0.0,0.0,0.0,25.0,10.0,1
251,2011,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.4,73,0.0,0.0,0.0,25.0,10.0,1
253,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.2,105,0.0,0.0,90.0,25.0,10.0,1
254,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.2,105,0.0,0.0,100.0,25.0,10.0,1
264,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.6,98,40.67198,56.03299,60.0,1.03608,1462.46876,1
265,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.6,98,40.67198,56.03299,67.0,1.03608,1462.46876,1
267,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.6,98,40.67198,56.03299,60.0,1.03608,1462.46876,1
268,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.6,98,40.67198,56.03299,67.0,1.03608,1462.46876,1
269,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13.3,621,23.33033,46.5781,0.0,0.08332,89.4684,1
270,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13.3,621,23.33033,46.5781,0.0,0.08332,89.4684,1
271,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.0,74,0.0,0.0,0.0,0.19273,114.40569,1
273,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.2,105,0.0,0.0,90.0,25.0,10.0,1
274,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.2,105,0.0,0.0,100.0,25.0,10.0,1
275,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13.3,621,23.33033,46.5781,0.0,0.08332,89.4684,1
276,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13.3,621,23.33033,46.5781,0.0,0.08332,89.4684,1
277,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13.3,621,23.33033,46.5781,0.0,0.08332,89.4684,1
290,2010,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.4,73,0.0,0.0,0.0,25.0,10.0,1
296,2011,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,98,40.67198,56.03299,60.0,1.03342,1648.88372,1
297,2011,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,98,40.67198,56.03299,67.0,1.03342,1648.88372,1
298,2011,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.4,73,0.0,0.0,0.0,25.0,10.0,1
299,2011,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.9,621,23.33033,46.5781,0.0,0.08332,89.4684,1
304,2011,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.9,621,23.33033,46.5781,0.0,0.08332,89.4684,1
305,2011,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.9,621,23.33033,46.5781,0.0,0.08332,89.4684,1
306,2011,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.9,621,23.33033,46.5781,0.0,0.08332,89.4684,1
309,2010,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.4,130,0.0,0.0,0.0,0.13223,38.78981,1
310,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5,40,26.46852,35.23174,0.0,0.15578,10.0,1
311,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5,40,26.46852,35.23174,0.0,0.15578,10.0,1
314,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5,40,26.46852,35.23174,0.0,0.15578,10.0,1
315,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5,40,26.46852,35.23174,0.0,0.15578,10.0,1
316,2010,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.4,130,0.0,0.0,0.0,0.13223,38.78981,1
317,2010,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.4,73,0.0,0.0,0.0,25.0,10.0,1
318,2010,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.4,73,0.0,0.0,0.0,25.0,10.0,1
329,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.2,105,0.0,0.0,90.0,25.0,10.0,1
330,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.2,105,0.0,0.0,100.0,25.0,10.0,1
332,2010,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.4,21,0.0,0.0,0.0,25.0,10.0,1
334,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5,40,26.46852,35.23174,0.0,0.15578,10.0,1
335,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5,40,26.46852,35.23174,0.0,0.15578,10.0,1
336,2010,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.4,21,30.88083,50.44337,0.0,1.15992,686.12491,1
337,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.2,105,0.0,0.0,90.0,25.0,10.0,1
338,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.2,105,0.0,0.0,100.0,25.0,10.0,1
347,2010,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.7,43,0.0,0.0,0.0,0.18823,204.04403,1
348,2010,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.4,21,0.0,0.0,0.0,25.0,10.0,1
357,2011,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20.2,15,0.0,0.0,0.0,25.0,10.0,1
361,2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.4,130,0.0,0.0,0.0,0.13223,38.78981,1
363,2011,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.9,621,23.33033,46.5781,0.0,0.08332,89.4684,1
365,2011,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.9,621,23.33033,46.5781,0.0,0.08332,89.4684,1
367,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5,40,26.46852,35.23174,0.0,0.15578,10.0,1
368,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5,40,26.46852,35.23174,0.0,0.15578,10.0,1
380,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13.3,621,23.33033,46.5781,0.0,0.08332,89.4684,1
381,2010,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.4,13,0.0,0.0,0.0,25.0,10.0,0
382,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13.3,621,23.33033,46.5781,0.0,0.08332,89.4684,1
384,2010,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25.0,20,0.0,0.0,0.0,25.0,10.0,1
385,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5,40,26.46852,35.23174,0.0,0.15578,10.0,1
386,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5,40,26.46852,35.23174,0.0,0.15578,10.0,1
389,2010,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.4,13,0.0,0.0,0.0,25.0,10.0,0
391,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.2,105,0.0,0.0,90.0,25.0,10.0,1
392,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.2,105,0.0,0.0,100.0,25.0,10.0,1
396,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.0,74,0.0,0.0,0.0,0.19273,114.40569,1
404,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,60.3,16,0.0,0.0,0.0,0.37307,36.07047,1
408,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13.3,621,23.33033,46.5781,0.0,0.08332,89.4684,1
409,2011,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.9,621,23.33033,46.5781,0.0,0.08332,89.4684,1
415,2011,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.4,73,0.0,0.0,0.0,25.0,10.0,1
417,2011,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.9,621,23.33033,46.5781,0.0,0.08332,89.4684,1
418,2011,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25.0,12,0.0,0.0,65.0,25.0,10.0,0
419,2011,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25.0,12,0.0,0.0,67.0,25.0,10.0,0
420,2011,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,22.5,71,0.0,0.0,0.0,0.75502,156.21967,1
422,2011,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,98,40.67198,56.03299,60.0,1.03342,1648.88372,1
423,2011,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,98,40.67198,56.03299,67.0,1.03342,1648.88372,1
427,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.0,74,0.0,0.0,0.0,0.19273,114.40569,1
430,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5,40,26.46852,35.23174,0.0,0.15578,10.0,1
431,2010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.5,40,26.46852,35.23174,0.0,0.15578,10.0,1
432,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13.3,621,23.33033,46.5781,0.0,0.08332,89.4684,1
433,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13.3,621,23.33033,46.5781,0.0,0.08332,89.4684,1
440,2010,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.7,43,0.0,0.0,0.0,0.18823,204.04403,1
442,2010,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.8,40,29.55274,52.88558,50.0,0.19501,10.0,1
443,2010,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.8,40,29.55274,52.88558,0.0,0.19501,10.0,1
446,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13.3,621,23.33033,46.5781,0.0,0.08332,89.4684,1
447,2010,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25.0,40,0.0,0.0,0.0,25.0,10.0,1
448,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.2,105,0.0,0.0,90.0,25.0,10.0,1
449,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,19.2,105,0.0,0.0,100.0,25.0,10.0,1
450,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13.3,621,23.33033,46.5781,0.0,0.08332,89.4684,1
451,2010,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25.0,19,0.0,0.0,0.0,25.0,10.0,1
452,2010,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.8,15,0.0,0.0,0.0,25.0,10.0,1
453,2010,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25.0,40,0.0,0.0,0.0,25.0,10.0,1
454,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13.3,621,23.33033,46.5781,0.0,0.08332,89.4684,1
455,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13.3,621,23.33033,46.5781,0.0,0.08332,89.4684,1
460,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13.3,621,23.33033,46.5781,0.0,0.08332,89.4684,1
463,2010,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,25,21.10257,0.0,0.0,0.43345,492.40565,1
468,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.0,74,0.0,0.0,0.0,0.19273,114.40569,1
471,2011,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.7,4,43.30638,67.37795,0.0,0.46782,406.20873,0
477,2011,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10.9,621,23.33033,46.5781,0.0,0.08332,89.4684,1
481,2011,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.4,12,4.84779,0.0,0.0,0.37655,37.95861,0
486,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.6,98,40.67198,56.03299,60.0,1.03608,1462.46876,1
