,Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,Source,FootNote,Nature,Reporting Type,Sex,Units
93904,4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",8,Albania,2007,1.47468,2007,"Labour Force Survey. Reference period for participation in education and training: unknown, likely 1 month prior to the interview. Data extracted on 13 April 2021.",,C,G,FEMALE,PERCENT
93905,4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",8,Albania,2007,1.53492,2007,"Labour Force Survey. Reference period for participation in education and training: unknown, likely 1 month prior to the interview. Data extracted on 13 April 2021.",,C,G,BOTHSEX,PERCENT
93906,4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",8,Albania,2007,1.59717,2007,"Labour Force Survey. Reference period for participation in education and training: unknown, likely 1 month prior to the interview. Data extracted on 13 April 2021.",,C,G,MALE,PERCENT
93907,4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",8,Albania,2008,2.12108,2008,"Labour Force Survey. Reference period for participation in education and training: unknown, likely 1 month prior to the interview. Data extracted on 13 April 2021.",,C,G,FEMALE,PERCENT
93908,4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",8,Albania,2008,1.64189,2008,"Labour Force Survey. Reference period for participation in education and training: unknown, likely 1 month prior to the interview. Data extracted on 13 April 2021.",,C,G,MALE,PERCENT
93909,4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",8,Albania,2008,1.89852,2008,"Labour Force Survey. Reference period for participation in education and training: unknown, likely 1 month prior to the interview. Data extracted on 13 April 2021.",,C,G,BOTHSEX,PERCENT
93910,4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",8,Albania,2009,1.55904,2009,"Labour Force Survey. Reference period for participation in education and training: unknown, likely 1 month prior to the interview. Data extracted on 13 April 2021.",,C,G,BOTHSEX,PERCENT
93911,4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",8,Albania,2009,1.74657,2009,"Labour Force Survey. Reference period for participation in education and training: unknown, likely 1 month prior to the interview. Data extracted on 13 April 2021.",,C,G,MALE,PERCENT
93912,4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",8,Albania,2009,1.39056,2009,"Labour Force Survey. Reference period for participation in education and training: unknown, likely 1 month prior to the interview. Data extracted on 13 April 2021.",,C,G,FEMALE,PERCENT
93913,4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",8,Albania,2010,1.403,2010,"Labour Force Survey. Reference period for participation in education and training: unknown, likely 1 month prior to the interview. Data extracted on 13 April 2021.",,C,G,FEMALE,PERCENT
93914,4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",8,Albania,2010,1.55519,2010,"Labour Force Survey. Reference period for participation in education and training: unknown, likely 1 month prior to the interview. Data extracted on 13 April 2021.",,C,G,MALE,PERCENT
93915,4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",8,Albania,2010,1.47551,2010,"Labour Force Survey. Reference period for participation in education and training: unknown, likely 1 month prior to the interview. Data extracted on 13 April 2021.",,C,G,BOTHSEX,PERCENT
93916,4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",8,Albania,2013,1.38437,2013,"Labour Force Survey. Reference period for participation in education and training: unknown, likely 1 month prior to the interview. Data extracted on 13 April 2021.",,C,G,BOTHSEX,PERCENT
93917,4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",8,Albania,2013,1.23265,2013,"Labour Force Survey. Reference period for participation in education and training: unknown, likely 1 month prior to the interview. Data extracted on 13 April 2021.",,C,G,FEMALE,PERCENT
93918,4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",8,Albania,2016,9.5,2016,Adult Education Survey (AES). Data extracted on 13 April 2021.,,C,G,FEMALE,PERCENT
93919,4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",8,Albania,2016,9.2,2016,Adult Education Survey (AES). Data extracted on 13 April 2021.,,C,G,BOTHSEX,PERCENT
93920,4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",8,Albania,2016,8.8,2016,Adult Education Survey (AES). Data extracted on 13 April 2021.,,C,G,MALE,PERCENT
93921,4,4.3,4.3.1,SE_ADT_EDUCTRN,"Participation rate in formal and non-formal education and training, by sex (%)",24,Angola,2004,8.83035,2004,"Core Welfare Indicators Questionnaire. Reference period for participation in education and training: unknown, likely 1 month prior to the interview. Data extracted on 13 April 2021.",,C,G,FEMALE,PERCENT
